,Description
crim,Per capita crime rate by town.
zn,"Proportion of residential land zoned for lots over 25,000 sq.ft"
indus,Proportion of non-retail business acres per town.
chas,Charles river dummy variable (= 1 if tract bounds river; 0 otherwise).
nox,Nitrogen oxides concentration (parts per 10 million).
rm,Average number of rooms per dwelling.
age,Proportion of owner-occupied units built prior to 1940.
dis,Weighted mean of distances to five boston employment centres.
rad,Index of accessibility to radial highways.
tax,"Full-value property-tax rate per $10,000."
ptratio,Pupil-teacher ratio by town.
lstat,Lower status of the population (percent).
medv,Median value of owner-occupied homes in $1000s.
